No,NIM,Nama,Program_Studi,Semester,Tahun_Masuk,IPK,Kehadiran,Nilai_Tugas,Nilai_UTS,Nilai_UAS,Nilai_Akhir,Jam_Belajar_Mingguan,Jumlah_Terlambat,Cluster,Kategori,Kelompok_Simulasi
1,2022MJ0001,Nabila Kusuma,Manajemen,4,2022,3.47,96.66,82.13,83.58,78.5,82.75,17.82,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
2,2021SI0002,Farhan Hakim,Sistem Informasi,6,2021,3.51,83.04,80.52,85.59,95.23,87.44,27.24,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
3,2022AK0003,Kirana Anggraini,Akuntansi,8,2022,3.52,93.16,86.37,84.77,83.14,85.44,10.41,0,1,Prestasi Akademik Relatif Tinggi,Tinggi
4,2021MJ0004,Zahra Sari,Manajemen,2,2021,2.85,83.56,74.26,65.75,81.81,75.28,13.74,6,0,Prestasi Akademik Relatif Sedang,Sedang
5,2021MJ0005,Eka Hakim,Manajemen,8,2021,3.75,94.07,89.59,87.64,78.32,85.51,18.8,0,1,Prestasi Akademik Relatif Tinggi,Tinggi
6,2024IK0006,Putri Safitri,Ilmu Komunikasi,8,2024,3.82,89.64,79.09,82.32,86.71,83.78,16.32,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
7,2022MJ0007,Niken Hidayat,Manajemen,2,2022,2.6,81.15,73.02,65.0,70.11,70.41,8.45,4,0,Prestasi Akademik Relatif Sedang,Sedang
8,2024AK0008,Putri Syahputra,Akuntansi,3,2024,3.17,86.53,84.42,79.2,95.67,87.0,15.34,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
9,2023TI0009,Putri Febriani,Teknik Informatika,3,2023,2.83,78.03,85.03,52.44,55.99,64.39,7.37,5,0,Prestasi Akademik Relatif Sedang,Sedang
10,2021IK0010,Reza Aprilia,Ilmu Komunikasi,7,2021,3.73,96.15,87.1,90.74,87.91,89.38,13.75,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
11,2024TI0011,Tegar Nugroho,Teknik Informatika,4,2024,2.59,40.94,46.66,44.32,53.73,47.86,4.36,5,2,Prestasi Akademik Relatif Rendah,Rendah
12,2023TI0012,Eka Syahputra,Teknik Informatika,6,2023,2.69,59.29,55.09,44.66,39.83,47.04,4.71,7,2,Prestasi Akademik Relatif Rendah,Rendah
